,fr
All apps,Toutes les applications
Appearance,Apparence
Autostart,Démarrage automatique
Basic setup,Configuration de base
Browser,Navigateur
Clock,Horloge
Conky,Conky
Desktop,Bureau
Desktop icons,Icônes de bureau
Detailed ,Détaillé 
Detailed config,Configuration détaillée
Display,Affichage
Dock,Quai
File manager,Gestionnaire de fichiers
Keys,Clés
Leave,Laisser
Log Out,Se déconnecter
Menu,Menu
Monitors,Moniteurs
First Aid,Premiers secours
MX Tools,Outils MX
MX Users Manual,Manuel de l'utilisateur MX
Notification area,Zone de notification
Out of sight,A l'abri des regards
Raspberry Pi,Raspberry Pi
Refresh,Rafraîchir
Restart,Redémarrage
Rofi,Rofi
Run,Exécuter
Settings,Paramètres
Shutdown,Fermeture
Systray,Systray
Terminal,Terminal
Theme,Thème
Wallpaper,Papier peint
