,ja
All apps,すべてのアプリ
Appearance,外観
Autostart,自動スタート
Basic setup,基本設定
Browser,ブラウザ
Clock,時計
Conky,コンキー
Desktop,デスクトップ
Desktop icons,デスクトップアイコン
Detailed ,詳細設定 
Detailed config,詳細設定
Display,ディスプレイ
Dock,ドック
File manager,ファイルマネージャー
Keys,キー
Leave,退出
Log Out,ログアウト
Menu,メニュー
Monitors,モニター
First Aid,ファーストエイド
MX Tools,MXツール
MX Users Manual,MXユーザーマニュアル
Notification area,通知エリア
Out of sight,見えない場所
Raspberry Pi,ラズベリーパイ
Refresh,リフレッシュ
Restart,再起動
Rofi,Rofi
Run,実行
Settings,設定
Shutdown,シャットダウン
Systray,シストレ
Terminal,ターミナル
Theme,テーマ
Wallpaper,壁紙
