,de
All apps,Alle Anwendungen
Appearance,Erscheinungsbild
Autostart,Autostart
Basic setup,Grundlegende Einrichtung
Browser,Browser
Clock,Uhr
Conky,Conky
Desktop,Schreibtisch
Desktop icons,Desktop-Symbole
Detailed ,Ausführlich 
Detailed config,Detaillierte Konfiguration
Display,Anzeige
Dock,Dock
File manager,Datei-Manager
Keys,Tasten
Leave,Verlassen
Log Out,Abmelden
Menu,Menü
Monitors,Monitore
First Aid,Erste Hilfe
MX Tools,MX-Werkzeuge
MX Users Manual,MX-Benutzerhandbuch
Notification area,Benachrichtigungsbereich
Out of sight,Unsichtbar
Raspberry Pi,Raspberry Pi
Refresh,Aktualisieren
Restart,Neu starten
Rofi,Rofi
Run,Ausführen
Settings,Einstellungen
Shutdown,Herunterfahren
Systray,Systray
Terminal,Terminal
Theme,Thema
Wallpaper,Hintergrundbild
